quote,movie,year,length
I need to believe that something extraordinary is possible.,A Beautiful Mind,2001,59
"You have been weighed, you have been measured, and you have been found wanting.",A Knight's Tale,2001,79
"Eventually, all things merge into one, and a river runs through it.",A River Runs Through It,1992,67
"Hey, I just wanted to take another look at you.",A Star Is Born,2018,47
I have always depended on the kindness of strangers.,A Streetcar Named Desire,1951,52
"We're all traveling through time together, every day of our lives.",About Time,2013,66
Fasten your seatbelts. It's going to be a bumpy night.,All About Eve,1950,54
It's a great thing when you realize you still have the ability to surprise yourself.,American Beauty,1999,84
I'm willing to meet my creator and answer for every shot that I took.,American Sniper,2014,69
You ate a whole wheel of cheese? I'm not even mad. That's amazing.,Anchorman,2004,66
"Fat, drunk, and stupid is no way to go through life, son.",Animal House,1978,57
Was it over when the Germans bombed Pearl Harbor? Hell no!,Animal House,1978,58
"Tomorrow is another day, and a new day always brings hope.",Annie,1982,58
Never get out of the boat. Absolutely goddamn right.,Apocalypse Now,1979,52
"If you could see your whole life laid out in front of you, would you change things?",Arrival,2016,83
Dread it. Run from it. Destiny still arrives.,Avengers: Infinity War,2018,45
In time you will know what it's like to lose.,Avengers: Infinity War,2018,45
Roads? Where we're going we don't need roads.,Back to the Future,1985,45
"Why don't you make like a tree, and get out of here?",Back to the Future,1985,52
"We ride together, we die together. Bad boys for life.",Bad Boys,1995,53
Why do we fall? So we can learn to pick ourselves up.,Batman Begins,2005,53
"It's not who I am underneath, but what I do that defines me.",Batman Begins,2005,60
Disturbing the peace? I got thrown out of a window!,Beverly Hills Cop,1984,51
A man tells his stories so many times that he becomes the stories.,Big Fish,2003,66
Shampoo is better. I go on first and clean the hair.,Billy Madison,1995,52
"In times of crisis the wise build bridges, while the foolish build barriers.",Black Panther,2018,76
"In times of crisis, the wise build bridges, while the foolish build barriers.",Black Panther,2018,77
Perfection is not just about control. It's also about letting go.,Black Swan,2010,65
I'm gonna be what I was born to be: a performer.,Bohemian Rhapsody,2018,48
"People say that if you don't love America, then get the hell out.",Born on the Fourth of July,1989,65
"They may take our lives, but they'll never take our freedom!",Braveheart,1995,60
"I'm glad he's single, because I'm gonna climb that like a tree.",Bridesmaids,2011,63
"People are gonna laugh, no matter what you do, so do what you wanna do.",Bull Durham,1988,71
"I believe in the soul, the cock, the pussy, the small of a woman's back.",Bull Durham,1988,72
"You put peace out into the world, you get peace back.",Bullet Train,2022,53
Major Strasser has been shot. Round up the usual suspects.,Casablanca,1942,58
"I'm shocked, shocked to find that gambling is going on in here!",Casablanca,1942,63
"Louis, I think this is the beginning of a beautiful friendship.",Casablanca,1942,63
"Of all the gin joints in all the towns in all the world, she walks into mine.",Casablanca,1942,77
"In the casino, the cardinal rule is to keep them playing.",Casino,1995,57
I have to keep breathing. Tomorrow the sun will rise.,Cast Away,2000,53
Two little mice fell into a bucket of cream.,Catch Me If You Can,2002,44
This means something. This is important.,Close Encounters of the Third Kind,1977,40
Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure.,Coach Carter,2005,104
What we've got here is failure to communicate.,Cool Hand Luke,1967,46
It's not the size of the dog in the fight; it's the size of the fight in the dog.,Cool Hand Luke,1967,81
She loves you. But she will never be your family.,Crazy Rich Asians,2018,49
One step at a time. One punch at a time. One round at a time.,Creed,2015,61
"Come out to the coast, we'll get together, have a few laughs.",Die Hard,1988,61
This is my dance space. This is your dance space.,Dirty Dancing,1987,49
You've got to ask yourself one question: do I feel lucky?,Dirty Harry,1971,57
"Gentlemen, you had my curiosity. Now you have my attention.",Django Unchained,2012,59
"The mystery of life isn't a problem to solve, but a reality to experience.",Dune,2021,74
"Some of us think holding on makes us strong, but sometimes it is letting go.",Eat Pray Love,2010,76
The best way to spread Christmas cheer is singing loud for all to hear.,Elf,2003,71
"Blessed are the forgetful, for they get the better even of their blunders.",Eternal Sunshine of the Spotless Mind,2004,74
"Be kind, especially when we don't know what's going on.",Everything Everywhere All at Once,2022,55
"In another life, I would have really liked just doing laundry and taxes with you.",Everything Everywhere All at Once,2022,81
"All I need are some tasty waves, a cool buzz, and I'm fine.",Fast Times at Ridgemont High,1982,59
"Life moves pretty fast. If you don't stop and look around, you could miss it.",Ferris Bueller's Day Off,1986,77
The first rule of Fight Club is: you do not talk about Fight Club.,Fight Club,1999,66
The second rule of Fight Club is: you do not talk about Fight Club.,Fight Club,1999,67
It's only after we've lost everything that we're free to do anything.,Fight Club,1999,69
You are not your job. You are not how much money you have in the bank.,Fight Club,1999,70
"On a long enough timeline, the survival rate for everyone drops to zero.",Fight Club,1999,72
"Don't follow your heart, because your heart can be deceived. You have to lead your heart.",Fireproof,2008,89
"Houston, Tranquility Base here. The Eagle has landed.",First Man,2018,53
Mama always said life was like a box of chocolates.,Forrest Gump,1994,51
"My mama always said, life is like a box of chocolates.",Forrest Gump,1994,54
My mama always said you can tell a lot about a person by their shoes.,Forrest Gump,1994,69
Life is like a box of chocolates. You never know what you're gonna get.,Forrest Gump,1994,71
"It's that thing when you're with someone, and you love them and they know it.",Frances Ha,2012,77
"This is my rifle. There are many like it, but this one is mine.",Full Metal Jacket,1987,63
"First they ignore you, then they laugh at you, then they fight you, then you win.",Gandhi,1982,81
Are you not entertained? Is this not why you are here?,Gladiator,2000,54
"My name is Maximus Decimus Meridius, commander of the Armies of the North.",Gladiator,2000,74
It's a dangerous thing to mistake speaking without thought for speaking the truth.,Glass Onion,2022,82
Put that coffee down. Coffee's for closers only.,Glengarry Glen Ross,1992,48
ABC. A: always. B: be. C: closing. Always be closing.,Glengarry Glen Ross,1992,53
"Do you expect me to talk? No, Mr. Bond, I expect you to die.",Goldfinger,1964,60
"As God is my witness, I'll never be hungry again.",Gone with the Wind,1939,49
"Never rat on your friends, and always keep your mouth shut.",Goodfellas,1990,59
"As far back as I can remember, I always wanted to be a gangster.",Goodfellas,1990,64
It is not our abilities that show what we truly are. It is our choices.,Harry Potter and the Chamber of Secrets,2002,71
"It is our choices that show what we truly are, far more than our abilities.",Harry Potter and the Chamber of Secrets,2002,75
Numbing the pain for a while will make it worse when you finally feel it.,Harry Potter and the Goblet of Fire,2005,73
Differences of habit and language are nothing at all if our aims are identical.,Harry Potter and the Goblet of Fire,2005,79
"If you want to know what a man is like, take a good look at how he treats his inferiors.",Harry Potter and the Goblet of Fire,2005,88
I solemnly swear that I am up to no good.,Harry Potter and the Prisoner of Azkaban,2004,41
"Happiness can be found, even in the darkest of times.",Harry Potter and the Prisoner of Azkaban,2004,53
It does not do to dwell on dreams and forget to live.,Harry Potter and the Sorcerer's Stone,2001,53
It takes a great deal of bravery to stand up to our enemies.,Harry Potter and the Sorcerer's Stone,2001,60
There will be no foolish wand-waving or silly incantations in this class.,Harry Potter and the Sorcerer's Stone,2001,73
"A guy told me one time, don't let yourself get attached to anything.",Heat,1995,68
Don't let yourself get attached to anything you are not willing to walk out on.,Heat,1995,79
"You mustn't be afraid to dream a little bigger, darling.",Inception,2010,56
"Do you want to take a leap of faith, or become an old man?",Inception,2010,58
"Fortune and glory, kid. Fortune and glory.",Indiana Jones and the Temple of Doom,1984,42
Once upon a time in Nazi-occupied France.,Inglourious Basterds,2009,41
Each and every man under my command owes me one hundred Nazi scalps.,Inglourious Basterds,2009,68
Crying helps me slow down and obsess over the weight of life's problems.,Inside Out,2015,72
We used to look up at the sky and wonder at our place in the stars.,Interstellar,2014,67
Love is the one thing we're capable of perceiving that transcends time and space.,Interstellar,2014,81
The very basic core of a man's living spirit is his passion for adventure.,Into the Wild,2007,74
"Every time a bell rings, an angel gets his wings.",It's a Wonderful Life,1946,49
The key to this business is personal relationships.,Jerry Maguire,1996,51
